a00;colera
m9282/0;odontoma complexo
m928;outras osteocondroses juvenis especificadas
m9290/0;fibro odontoma ameloblastico
m9290/3;odontossarcoma ameloblastico
m929;osteocondrose juvenil nao especificada
m93;outras osteocondropatias
m9300/0;tumor odontogenico adenomatoide
m9301/0;cisto odontogenico calcificante
m9302/0;tumor odontogenico celulas fantasma
m930;luxacao nao traumatica epifise superior femur
m9310/0;ameloblastoma soe
m9310/3;ameloblastoma maligno
m9311/0;odontoameloblastoma
m9312/0;tumor odontogenico escamoso
m931;doenca kienbock adulto
m9320/0;mixoma odontogenico
m9321/0;fibroma odontogenico central
m9322/0;fibroma odontogenico periferico
m932;osteocondrite dissecante
m9330/0;fibroma ameloblastico
m9330/3;fibrossarcoma ameloblastico
m9340/3;tumor odontogenico epitelial calcificante
m9350/1;craniofaringioma
m9360/1;pinealoma
m9361/1;pineocitoma
m9362/3;pineoblastoma
m9363/0;tumor neuroectodermico melanotico
m9364/3;tumor neuroectodermico periferico
m9370/0;cordoma
m9380/3;glioma maligno
m9381/3;gliomatose cerebral
m9382/3;glioma misto
m9383/1;glioma subependimal
m9384/1;astrocitoma subependimal celulas gigantes
m938;outras osteocondropatias especificadas
m9390/0;papiloma plexo coroide soe
m9390/3;papiloma maligno plexo coroide
m9391/3;ependimoma soe
m9392/3;ependimoma anaplastico
m9393/1;ependimoma papilar
m9394/1;ependimoma mixopapilar
m939;osteocondropatias nao especificada
m94;outros transtornos cartilagens
m9400/3;astrocitoma soe
m9401/3;astrocitoma anaplastico
m940;sindrome juncao condrocostal tietze
m9410/3;astrocitoma protoplasmico
m9411/3;astrocitoma gemistocitico
m941;policondrite recidivante
m9420/3;astrocitoma fibrilar
m9421/3;astrocitoma pilocitico
m9422/3;espongioblastoma soe
m9423/3;espongioblastoma polar
m9424/3;xantoastrocitoma pleomorfico
m942;condromalacia
m9430/0;astroblastoma
m943;condrolise
m9440/3;glioblastoma soe
m9441/3;glioblastoma celulas gigantes
m9442/3;gliossarcoma
m9443/3;espongioblastoma polar primitivo
m9450/3;oligodendroglioma soe
m9451/3;oligodendroglioma anaplastico
m9460/3;oligodendroblastoma
m9470/3;meduloblastoma soe
m9471/3;meduloblastoma desmoplastico
m9472/3;medulomioblastoma
m9473/3;tumor neuroectodermico primitivo
m9480/3;sarcoma cerebelar soe
m9481/3;sarcoma monstrocelular
m948;outros transtornos especificados cartilagem
m9490/0;ganglioneuroma
m9490/3;ganglioneuroblastoma
m9491/3;ganglioneuromatose
m949;transtornos nao especificados cartilagem
m95;outras deformidades adquiridas sistema osteomuscular tecido conjuntivo
m9500/3;neuroblastoma soe
m9501/3;meduloepitelioma soe
m9502/3;meduloepitelioma teratoide
m9503/3;neuroepitelioma soe
m9504/3;espongioneuroblastoma
m9505/1;ganglioglioma
m9506/0;neurocitoma
m9507/0;tumor paciniano
m950;deformidade adquirida nariz
m9510/3;retinoblastoma soe
m9511/3;retinoblastoma diferenciado
m9512/3;retinoblastoma nao diferenciado
m951;orelha couve flor
m9520/3;tumor neurogenico olfatorio
m9521/3;estesioneurocitoma
m9522/3;estesioneuroblastoma
m9523/3;estesioneuroepitelioma
m952;outras deformidades adquiridas cabeca
m9530/0;meningioma soe
m9530/1;meningiomatose soe
m9530/3;meningioma maligno
m9531/0;meningioma meningoteliomatoso
m9532/0;meningioma fibroso
m9533/0;meningioma psamomatoso
m9534/0;meningioma angiomatoso
m9535/0;meningioma hemangioblastico
m9536/0;meningioma hemangiopericitico
m9537/0;meningioma transicional
m9538/1;meningioma papilar
m9539/3;sarcomatose meningea
m953;deformidade adquirida pescoco
m9540/0;neurofibroma soe
m9540/1;neurofibromatose soe
m9540/3;neurofibrossarcoma
m9541/0;neurofibroma melanotico
m954;deformidade adquirida torax costelas
m9550/0;neurofibroma plexiforme
m955;deformidade adquirida pelve
m9560/0;neurilemoma soe
m9560/1;neurinomatose
m9560/3;neurilemoma maligno
m9561/3;tumor tritao maligno
m9562/0;neurotequeoma
m9570/0;neuroma soe
m9580/0;tumores celulas granulares soe
m9580/3;tumor maligno celulas granulares
m9581/3;sarcoma alveolar partes moles
m958;outras deformidades adquiridas especificadas sistema osteomuscular
m9590/3;linfoma maligno soe
m9591/3;linfoma maligno nao hodgkin soe
m9592/3;linfossarcoma soe
m9593/3;reticulossarcoma soe
m9594/3;microglioma
m9595/3;linfoma maligno difuso soe
m959;deformidade adquirida sistema osteomuscular nao especificada
m96;transtornos osteomusculares pos procedimentos nao classificados outra parte
m960;pseudo artrose apos fusao artrodese
m961;sindrome pos laminectomia nao classificada outra parte
m962;cifose pos radiacao
m963;cifose pos laminectomia
m964;lordose pos cirurgica
m9650/3;doenca hodgkin soe
m9652/3;doenca hodgkin celularidade mista soe
m9653/3;doenca hodgkin deplecao linfocitica soe
m9654/3;doenca hodgkin deplecao linfocitica fibrose difusa
m9655/3;doenca hodgkin deplecao linfocitica reticular
m9657/3;doenca hodgkin predominancia linfocitica soe
m9658/3;doenca hodgkin predominancia linfocitica difusa
m9659/3;doenca hodgkin predominancia linfocitica nodular
m965;escoliose pos radiacao
m9660/3;paragranuloma hodgkin soe
m9661/3;granuloma hodgkin
m9662/3;sarcoma hodgkin
m9663/3;doenca hodgkin esclerose nodular soe
m9664/3;doenca hodgkin esclerose nodular fase celular
m9665/3;doenca hodgkin esclerose nodular predominancia linfocitica
m9666/3;doenca hodgkin esclerose nodular celularidade mista
m9667/3;doenca hodgkin esclerose nodular deplecao linfocitica
m966;fratura osso subsequente implante ortopedico protese articular placa ossea
m9670/3;linfoma maligno linfocitos pequenos soe
m9671/3;linfoma maligno linfoplasmocitico
m9672/3;linfoma maligno pequenas celulas clivadas difuso
m9673/3;linfoma maligna linfocitico diferenciacao intermediaria difuso
m9674/3;linfoma maligno centrocitico
m9675/3;linfoma maligno misto celulas pequenas grandes difuso
m9676/3;linfoma maligno centroblastico centrocitico difuso
m9677/3;polipose linfomatosa maligna
m9680/3;linfoma maligno celulas grandes difuso soe
m9681/3;linfoma maligno celulas grandes clivadas difuso
m9682/3;linfoma maligno celulas grandes nao clivadas difuso
m9683/3;linfoma maligno centroblastico difuso
m9684/3;linfoma maligno imunoblastico soe
m9685/3;linfoma maligno linfoblastico
m9686/3;linfoma maligno celulas pequenas nao clivadas difuso
m9687/3;linfoma burkitt soe
m968;outros transtornos osteomusculares pos procedimentos
m9690/3;linfoma maligno folicular soe
m9691/3;linfoma maligno misto celulas pequenas clivadas celulas grandes folicular
m9692/3;linfoma maligno centroblastico centrocitico folicular
m9693/3;linfoma maligno linfocitico bem diferenciado nodular
m9694/3;linfoma maligno linfocitico diferenciacao intermediaria nodular
m9695/3;linfoma maligno celulas pequenas clivadas folicular
m9696/3;linfoma maligno linfocitico pouco diferenciado nodular
m9697/3;linfoma maligno centroblastico folicular
m9698/3;linfoma maligno celulas grandes folicular soe
m969;transtorno osteomuscular nao especificado pos procedimento
m9700/3;micose fungoide
m9701/3;doenca sezary
m9702/3;linfoma celulas t periferico soe
m9703/3;linfoma zona t
m9704/3;linfoma linfoepiteloide
m9705/3;linfoma celulas t perifericos linfadenopatia angio imunoblastica disproteinemia
m9706/3;linfoma celulas t periferico celulas pequenas pleomorficas
m9707/3;linfoma celulas t periferico pleomorfico celulas medias grandes
m9709/3;linfoma cutaneo
m9711/3;linfoma celulas b monocitoides
m9712/3;angioendoteliomatose
m9713/3;linfoma celulas t angiocentrico
m9714/3;linfoma celulas grandes ki 1+
m9720/3;histiocitose maligna
m9722/3;doenca letterer siwe
m9723/3;linfoma histiocitico verdadeiro
m9731/3;plasmocitoma soe
m9732/3;mieloma multiplo
m9740/1;mastocitoma soe
m9740/3;sarcoma mastocitos
m9741/3;mastocitose maligna
m9760/3;doenca imunoproliferativa soe
m9761/3;macroglobulinemia waldenstrom
m9762/3;doenca cadeia pesada alfa
m9763/3;doenca cadeia pesada gama
m9764/3;doenca imunoproliferativa intestino delgado
m9765/1;gamopatia monoclonal
m9766/1;lesao imunoproliferativa angiocentrica
m9767/1;linfadenopatia angioimunoblastica
m9768/1;doenca linfoproliferativa t gama
m9800/3;leucemia soe
m9801/3;leucemia aguda soe
m9802/3;leucemia subaguda soe
m9803/3;leucemia cronica soe
m9804/3;leucemia aleucemica soe
m9820/3;leucemia linfoide soe
m9821/3;leucemia linfoblastica aguda soe
m9822/3;leucemia linfoide subaguda
m9823/3;leucemia linfocitica cronica
m9824/3;leucemia linfoide aleucemica
m9825/3;leucemia prolinfocitica
m9826/3;leucemia celulas burkitt
m9827/3;leucemia /linfoma celulas t adultas
m9830/3;leucemia plasmocitos
m9840/3;eritroleucemia
m9841/3;eritremia aguda
m9842/3;eritremia cronica
m9850/3;leucemia celulas linfossarcoma
m9860/3;leucemia mieloide soe
m9861/3;leucemia mieloide aguda
m9862/3;leucemia mieloide subaguda
m9863/3;leucemia mieloide cronica
m9864/3;leucemia mieloide aleucemica
m9866/3;leucemia promielocitica aguda
m9867/3;leucemia mielomonocitica aguda
m9868/3;leucemia mielomonocitica cronica
m9870/3;leucemia basofila
m9880/3;leucemia eosinofilica
m9890/3;leucemia monocitica soe
m9891/3;leucemia monocitica aguda
m9892/3;leucemia monocitica subaguda
m9893/3;leucemia monocitica cronica
m9894/3;leucemia monocitica aleucemica
m99;lesoes biomecanicas nao classificadas outra parte
m9900/3;leucemia mastocitos
m990;disfuncao segmentar somatica
m9910/3;leucemia megacarioblastica aguda
m991;complexo subluxacao vertebral
m992;estenose subluxacao canal medular
m9930/3;sarcoma mieloide
m9931/3;panmielose aguda
m9932/3;mielofibrose aguda
m993;estenose ossea canal medular
m9940/3;leucemia hairy cell
m9941/3;reticuloendoteliose leucemica
m994;estenose tecido conjuntivo canal medular
m9950/1;policitemia vera
m995;estenose disco intervertebral canal medular
m9960/1;doenca mieloproliferativa cronica
m9961/3;mieloesclerose metaplasia mieloide
m9962/1;trombocitemia idiopatica
m996;estenose ossea subluxacao forames intervertebrais
m9970/1;doenca linfoproliferativa soe
m997;estenose tecido conjuntivo disco forames intervertebrais
m9980/1;anemia refrataria soe
m9981/1;anemia refrataria sem sideroblastos
m9982/1;anemia refrataria sideroblastos
m9983/1;anemia refrataria excesso blastos
m9984/1;anemia refrataria excesso blastos transformacao
m9989/1;sindrome mielodisplasica soe
m998;outras lesoes biomecanicas
m999;lesao biomecanica nao especificada
n00;sindrome nefritica aguda
n000;sindrome nefritica aguda anormalidade glomerular minor
n001;sindrome nefritica aguda lesoes glomerulares focais segmentares
n002;sindrome nefritica aguda glomerulonefrite membranosa difusa
n003;sindrome nefritica aguda glomerulonefrite proliferativa mesangial difusa
n004;sindrome nefritica aguda glomerulonefrite proliferativa endocapilar difusa
n005;sindrome nefritica aguda glomerulonefrite mesangiocapilar difusa
n006;sindrome nefritica aguda doenca deposito denso
n007;sindrome nefritica aguda glomerulonefrite difusa crescente
n008;sindrome nefritica aguda outras
n009;sindrome nefritica aguda nao especificada
n01;sindrome nefritica rapidamente progressiva
n010;sindrome nefritica rapidamente progressiva anormalidade glomerular minor
n011;sindrome nefritica rapidamente progressiva lesoes glomerulares focais segmentares
n012;sindrome nefritica rapidamente progressiva glomerulonefrite membranosa difusa
n013;sindrome nefritica rapidamente progressiva glomerulonefrite proliferativa mesangial difusa
n014;sindrome nefritica rapidamente progressiva glomerulonefrite proliferativa endocapilar difusa
n015;sindrome nefritica rapidamente progressiva glomerulonefrite mesangiocapilar difusa
n016;sindrome nefritica rapidamente progressiva doenca deposito denso
n017;sindrome nefritica rapidamente progressiva glomerulonefrite difusa crescente
n018;sindrome nefritica rapidamente progressiva outras
n019;sindrome nefritica rapidamente progressiva nao especificada
n02;hematuria recidivante persistente
n020;hematuria recidivante persistente anormalidade glomerular minor
n021;hematuria recidivante persistente lesoes glomerulares focais segmentares
n022;hematuria recidivante persistente glomerulonefrite membranosa difusa
n023;hematuria recidivante persistente glomerulonefrite proliferativa mesangial difusa
n024;hematuria recidivante persistente glomerulonefrite proliferativa endocapilar difusa
n025;hematuria recidivante persistente glomerulonefrite mesangiocapilar difusa
n026;hematuria recidivante persistente doenca deposito denso
n027;hematuria recidivante persistente glomerulonefrite difusa crescente
n028;hematuria recidivante persistente outras
n029;hematuria recidivante persistente nao especificada
n03;sindrome nefritica cronica
n030;sindrome nefritica cronica anormalidade glomerular minor
n031;sindrome nefritica cronica lesoes glomerulares focais segmentares
n032;sindrome nefritica cronica glomerulonefrite membranosa difusa
n033;sindrome nefritica cronica glomerulonefrite proliferativa mesangial difusa
n034;sindrome nefritica cronica glomerulonefrite proliferativa endocapilar difusa
n035;sindrome nefritica cronica glomerulonefrite mesangiocapilar difusa
n036;sindrome nefritica cronica doenca deposito denso
n037;sindrome nefritica cronica glomerulonefrite difusa crescente
n038;sindrome nefritica cronica outras
n039;sindrome nefritica cronica nao especificada
n04;sindrome nefrotica
n040;sindrome nefrotica anormalidade glomerular minor
n041;sindrome nefrotica lesoes glomerulares focais segmentares
n042;sindrome nefrotica glomerulonefrite membranosa difusa
n043;sindrome nefrotica glomerulonefrite proliferativa mesangial difusa
n044;sindrome nefrotica glomerulonefrite proliferativa endocapilar difusa
n045;sindrome nefrotica glomerulonefrite mesangiocapilar difusa
n046;sindrome nefrotica doenca deposito denso
n047;sindrome nefrotica glomerulonefrite difusa crescente
n048;sindrome nefrotica outras
n049;sindrome nefrotica nao especificada
n05;sindrome nefritica nao especificada
n050;sindrome nefritica nao especificada anormalidade glomerular minor
n051;sindrome nefritica nao especificada lesoes glomerulares focais segmentares
n052;sindrome nefritica nao especificada glomerulonefrite membranosa difusa
n053;sindrome nefritica nao especificada glomerulonefrite proliferativa mesangial difusa
n054;sindrome nefritica nao especificada glomerulonefrite proliferativa endocapilar difusa
n055;sindrome nefritica nao especificada glomerulonefrite mesangiocapilar difusa
n056;sindrome nefritica nao especificada doenca deposito denso
n057;sindrome nefritica nao especificada glomerulonefrite difusa crescente
n058;sindrome nefritica nao especificada outras
n059;sindrome nefritica nao especificada nao especificada
n06;proteinuria isolada lesao morfologica especificada
n060;proteinuria isolada lesao morfologica especificada anormalidade glomerular minor
n061;proteinuria isolada lesao morfologica especificada lesoes glomerulares focais segmentares
n062;proteinuria isolada lesao morfologica especificada glomerulonefrite membranosa difusa
n063;proteinuria isolada lesao morfologica especificada glomerulonefrite proliferativa mesangial difusa
n064;proteinuria isolada lesao morfologica especificada glomerulonefrite proliferativa endocapilar difusa
n065;proteinuria isolada lesao morfologica especificada glomerulonefrite mesangiocapilar difusa
n066;proteinuria isolada lesao morfologica especificada doenca deposito denso
n067;proteinuria isolada lesao morfologica especificada glomerulonefrite difusa crescente
n068;proteinuria isolada lesao morfologica especificada outras
n069;proteinuria isolada lesao morfologica especificada nao especificada
n07;nefropatia hereditaria nao classificada outra parte
n070;nefropatia hereditaria nao classificada outra parte anormalidade glomerular minor
n071;nefropatia hereditaria nao classificada outra parte lesoes glomerulares focais segmentares
n072;nefropatia hereditaria nao classificada outra parte glomerulonefrite membranosa difusa
n073;nefropatia hereditaria nao classificada outra parte glomerulonefrite proliferativa mesangial difusa
n074;nefropatia hereditaria nao classificada outra parte glomerulonefrite proliferativa endocapilar difusa
n075;nefropatia hereditaria nao classificada outra parte glomerulonefrite mesangiocapilar difusa
n076;nefropatia hereditaria nao classificada outra parte doenca deposito denso
n077;nefropatia hereditaria nao classificada outra parte glomerulonefrite difusa crescente
n078;nefropatia hereditaria nao classificada outra parte outras
n079;nefropatia hereditaria nao classificada outra parte nao especificada
n08;transtornos glomerulares doencas classificadas outra parte
n080;transtornos glomerulares doencas infecciosas parasitarias classificadas outra parte
n081;transtornos glomerulares doencas neoplasicas
n082;transtornos glomerulares doencas sangue transtornos imunitarios
n083;transtornos glomerulares diabetes mellitus
n084;transtornos glomerulares doencas endocrinas nutricionais metabolicas
n085;transtornos glomerulares doencas sistemicas tecido conjuntivo
n088;transtornos glomerulares outras doencas classificadas outra parte
n10;nefrite tubulo intersticial aguda
n11;nefrite tubulo intersticial cronica
n110;pielonefrite nao obstrutiva cronica associada refluxo
n111;pielonefrite obstrutiva cronica
n118;outras nefrites tubulo intersticiais cronicas
n119;nefrite tubulo intersticial cronica nao especificada
n12;nefrite tubulo intersticial nao especificada se aguda cronica
n13;uropatia obstrutiva refluxo
n130;hidronefrose obstrucao juncao uretero pelvica
n131;hidronefrose estreitamento ureter nao classificada outra parte
n132;hidronefrose obstrucao calculose renal ureteral
n133;outras hidronefroses nao especificadas
n134;hidroureter
n135;torcao estreitamento ureter sem hidronefrose
n136;pionefrose
n137;uropatia associada refluxo vesico ureteral
n138;outras uropatias obstrutivas refluxo
n139;uropatia obstrutiva refluxo nao especificada
n14;afeccoes tubulares tubulo intersticiais induzidas drogas metais pesados
n140;nefropatia induzida analgesico
n141;nefropatia induzida outras drogas medicamentos substancias biologicas
n142;nefropatia induzida drogas medicamentos substancias biologicas nao especificadas
n143;nefropatia induzida metais pesados
